CBSA,MSA,firm_addresses,solo_addresses,lawyers_in_firms,lawyers_solo,total_addresses,pct_addresses_firms,pct_addresses_solo
36500,"Olympia-Lacey-Tumwater, WA",197,901,836,901,1098,0.17941712204007285,0.8205828779599271
36540,"Omaha, NE-IA",648,2289,3654,2289,2937,0.22063329928498468,0.7793667007150153
36740,"Orlando-Kissimmee-Sanford, FL",1444,5164,7941,5164,6608,0.2185230024213075,0.7814769975786925
36780,"Oshkosh-Neenah, WI",69,213,319,213,282,0.24468085106382978,0.7553191489361702
36980,"Owensboro, KY",38,159,133,159,197,0.19289340101522842,0.8071065989847716
37100,"Oxnard-Thousand Oaks-Ventura, CA",398,2243,1690,2243,2641,0.15070049223778872,0.8492995077622113
37140,"Paducah, KY-IL",53,202,198,202,255,0.20784313725490197,0.792156862745098
37340,"Palm Bay-Melbourne-Titusville, FL",203,1042,722,1042,1245,0.16305220883534136,0.8369477911646587
37460,"Panama City-Panama City Beach, FL",71,345,270,345,416,0.17067307692307693,0.8293269230769231
37620,"Parkersburg-Vienna, WV",20,131,90,131,151,0.13245033112582782,0.8675496688741722
37860,"Pensacola-Ferry Pass-Brent, FL",198,835,971,835,1033,0.19167473378509198,0.8083252662149081
37900,"Peoria, IL",162,574,864,574,736,0.22010869565217392,0.779891304347826
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5000,18474,32947,18474,23474,0.21300161881230298,0.786998381187697
38060,"Phoenix-Mesa-Chandler, AZ",2325,9001,12233,9001,11326,0.20527988698569663,0.7947201130143033
38240,"Pinehurst-Southern Pines, NC",34,257,110,257,291,0.11683848797250859,0.8831615120274914
38300,"Pittsburgh, PA",1561,6337,9646,6337,7898,0.19764497341099013,0.8023550265890099
38340,"Pittsfield, MA",73,390,287,390,463,0.15766738660907129,0.8423326133909287
38540,"Pocatello, ID",29,125,142,125,154,0.18831168831168832,0.8116883116883117
38860,"Portland-South Portland, ME",378,1938,2231,1938,2316,0.16321243523316062,0.8367875647668394
38900,"Portland-Vancouver-Hillsboro, OR-WA",1651,7158,9171,7158,8809,0.18742195481893517,0.8125780451810648
38940,"Port St. Lucie, FL",181,784,665,784,965,0.18756476683937823,0.8124352331606217
39150,"Prescott Valley-Prescott, AZ",61,461,188,461,522,0.11685823754789272,0.8831417624521073
39300,"Providence-Warwick, RI-MA",1345,4925,5720,4925,6270,0.21451355661881977,0.7854864433811802
39340,"Provo-Orem-Lehi, UT",202,1014,816,1014,1216,0.16611842105263158,0.8338815789473685
39380,"Pueblo, CO",33,170,129,170,203,0.1625615763546798,0.8374384236453202
39460,"Punta Gorda, FL",43,267,147,267,310,0.13870967741935483,0.8612903225806452
39540,"Racine-Mount Pleasant, WI",61,226,267,226,287,0.21254355400696864,0.7874564459930313
39580,"Raleigh-Cary, NC",852,4737,4506,4737,5589,0.1524422973698336,0.8475577026301664
39660,"Rapid City, SD",73,305,303,305,378,0.1931216931216931,0.8068783068783069
39740,"Reading, PA",109,424,524,424,533,0.2045028142589118,0.7954971857410882
39820,"Redding, CA",56,283,202,283,339,0.16519174041297935,0.8348082595870207
39900,"Reno, NV",301,1280,1251,1280,1581,0.19038583175205567,0.8096141682479443
40060,"Richmond, VA",964,4090,5465,4090,5054,0.19074000791452314,0.8092599920854768
40140,"Riverside-San Bernardino-Ontario, CA",824,4387,3491,4387,5211,0.1581270389560545,0.8418729610439455
40220,"Roanoke, VA",178,822,789,822,1000,0.178,0.822
40340,"Rochester, MN",70,348,304,348,418,0.1674641148325359,0.8325358851674641
40380,"Rochester, NY",515,1891,2937,1891,2406,0.21404821280133002,0.78595178719867
40420,"Rockford, IL",144,462,630,462,606,0.2376237623762376,0.7623762376237624
40580,"Rocky Mount, NC",20,179,89,179,199,0.10050251256281408,0.8994974874371859
40660,"Rome, GA",47,184,170,184,231,0.20346320346320346,0.7965367965367965
40900,"Sacramento-Roseville-Folsom, CA",1589,6467,8423,6467,8056,0.19724428997020854,0.8027557100297915
40980,"Saginaw, MI",64,276,255,276,340,0.18823529411764706,0.8117647058823529
41060,"St. Cloud, MN",55,251,311,251,306,0.17973856209150327,0.8202614379084967
41100,"St. George, UT",56,288,238,288,344,0.16279069767441862,0.8372093023255814
41140,"St. Joseph, MO-KS",25,125,86,125,150,0.16666666666666666,0.8333333333333334
41180,"St. Louis, MO-IL",1567,6682,9403,6682,8249,0.18996241968723482,0.8100375803127652
41420,"Salem, OR",215,915,1199,915,1130,0.1902654867256637,0.8097345132743363
41500,"Salinas, CA",152,827,597,827,979,0.15526046986721145,0.8447395301327886
41540,"Salisbury, MD",41,174,117,174,215,0.19069767441860466,0.8093023255813954
41620,"Salt Lake City-Murray, UT",936,3308,5619,3308,4244,0.22054665409990576,0.7794533459000943
41660,"San Angelo, TX",36,157,115,157,193,0.18652849740932642,0.8134715025906736
41700,"San Antonio-New Braunfels, TX",1198,4982,5305,4982,6180,0.19385113268608414,0.8061488673139159
