CBSA,MSA,n_lawyers,n_labeled_lawyers,n_zero_label_lawyers,Bankruptcy Law_binary_count,Civil Litigation_binary_count,Corporate / Business Law_binary_count,Criminal Defense_binary_count,Employment / Labor Law_binary_count,Estate Planning / Probate / Trusts_binary_count,Family Law_binary_count,General Practice / Other_binary_count,Immigration Law_binary_count,Intellectual Property Law_binary_count,Personal Injury / Torts_binary_count,Real Estate Law_binary_count,Tax Law_binary_count,Bankruptcy Law_normalized_1overN_count,Civil Litigation_normalized_1overN_count,Corporate / Business Law_normalized_1overN_count,Criminal Defense_normalized_1overN_count,Employment / Labor Law_normalized_1overN_count,Estate Planning / Probate / Trusts_normalized_1overN_count,Family Law_normalized_1overN_count,General Practice / Other_normalized_1overN_count,Immigration Law_normalized_1overN_count,Intellectual Property Law_normalized_1overN_count,Personal Injury / Torts_normalized_1overN_count,Real Estate Law_normalized_1overN_count,Tax Law_normalized_1overN_count,Bankruptcy Law_normalized_1overN_share,Civil Litigation_normalized_1overN_share,Corporate / Business Law_normalized_1overN_share,Criminal Defense_normalized_1overN_share,Employment / Labor Law_normalized_1overN_share,Estate Planning / Probate / Trusts_normalized_1overN_share,Family Law_normalized_1overN_share,General Practice / Other_normalized_1overN_share,Immigration Law_normalized_1overN_share,Intellectual Property Law_normalized_1overN_share,Personal Injury / Torts_normalized_1overN_share,Real Estate Law_normalized_1overN_share,Tax Law_normalized_1overN_share
21500,"Erie, PA",763,554,209,73,303,277,111,145,184,128,46,6,34,179,231,83,18.406493506493508,107.78863636363636,91.7969696969697,33.03903318903319,43.61800144300144,50.573160173160176,39.73704906204906,13.417207792207792,2.2857142857142856,13.372222222222222,53.821969696969695,64.08030303030303,22.06323953823954,0.03322471752074641,0.19456432556613065,0.1656985012580681,0.059637244023525625,0.07873285459025532,0.09128729273133608,0.07172752538276005,0.024218786628533925,0.004125838060856112,0.024137585238668276,0.09715156985012582,0.11566841702220766,0.03982534212678618
21660,"Eugene-Springfield, OR",1755,1075,680,98,498,472,198,208,265,221,101,14,54,211,300,66,39.37619047619047,209.52142857142857,174.54642857142858,105.67023809523809,86.11904761904762,91.38690476190476,91.3952380952381,48.86785714285714,9.083333333333334,23.126190476190477,81.36904761904762,93.48690476190475,21.051190476190477,0.03662901439645625,0.19490365448504984,0.1623687707641196,0.09829789590254706,0.08011074197120709,0.0850110741971207,0.08501882613510521,0.04545847176079734,0.008449612403100775,0.021512735326688816,0.0756921373200443,0.08696456256921373,0.01958250276854928
21780,"Evansville, IN",951,685,266,85,358,350,138,142,238,195,94,12,37,143,217,32,29.110064935064933,130.8187950937951,128.44260461760462,46.84498556998557,54.873556998557,69.30927128427129,58.40569985569986,35.689682539682536,3.65,11.575541125541125,43.91998556998557,64.76760461760462,7.592207792207792,0.042496445160678735,0.19097634320262058,0.1875074519965031,0.06838684024815411,0.08010738247964526,0.10118141793324276,0.08526379540978081,0.052101726335302974,0.005328467153284671,0.016898600183271717,0.06411676725545339,0.09455124761694104,0.011083515025120864
21820,"Fairbanks-College, AK",344,209,135,15,107,99,57,60,63,58,33,6,5,59,51,13,3.3595238095238096,37.22539682539683,35.551587301587304,25.540873015873014,18.882539682539683,19.40714285714286,20.839285714285715,9.45515873015873,1.1761904761904762,0.9623015873015873,19.113492063492064,13.490873015873015,3.9956349206349207,0.01607427660059239,0.17811194653299917,0.17010328852434117,0.1222051340472393,0.09034707982076404,0.09285714285714286,0.0997095010252905,0.045239993924204455,0.005627705627705628,0.004604313814840131,0.09145211513632566,0.06454963165489482,0.01911787043365991
22020,"Fargo, ND-MN",1023,566,457,55,291,246,129,84,175,134,65,9,9,112,148,39,17.195238095238096,112.66547619047618,94.05357142857143,59.13928571428571,30.188095238095237,64.88928571428572,52.37261904761905,25.47738095238095,3.75,2.8666666666666667,39.03809523809524,49.463095238095235,14.901190476190475,0.03038027932020865,0.19905561164395086,0.1661723876829884,0.10448637051993942,0.05333585731112232,0.11464538112064615,0.09253112905939762,0.04501304055190981,0.0066254416961130744,0.005064782096584217,0.06897189971394918,0.08739062762914353,0.026327191654046775
22140,"Farmington, NM",195,141,54,20,100,58,72,31,43,67,51,3,4,55,54,19,4.392857142857143,30.823015873015873,13.988492063492064,23.166666666666668,5.860714285714286,10.025,17.13015873015873,10.413492063492063,0.5611111111111111,0.6611111111111112,10.642460317460317,10.261904761904761,3.0730158730158728,0.031155015197568393,0.2186029494540133,0.0992091635708657,0.16430260047281325,0.04156534954407295,0.07109929078014185,0.12149048744793425,0.07385455364178768,0.003979511426319937,0.004688731284475966,0.07547844196780366,0.07277946639648766,0.02179443881571541
22180,"Fayetteville, NC",729,401,328,33,201,113,164,49,81,84,58,13,5,145,106,15,11.392857142857142,74.81071428571428,35.87738095238095,76.21785714285714,14.53452380952381,22.99404761904762,32.98452380952381,25.117857142857144,4.833333333333333,1.0666666666666667,51.56666666666666,44.61785714285714,4.985714285714286,0.028411115069469188,0.18656038475240472,0.08946977793611212,0.19006946918418244,0.03624569528559554,0.05734176463602899,0.08225567034793968,0.06263804773779837,0.01205320033250208,0.0026600166251039073,0.128595178719867,0.11126647666547917,0.012433202707516924
22220,"Fayetteville-Springdale-Rogers, AR",2726,1469,1257,175,772,750,386,290,390,407,165,59,82,479,408,122,47.84336219336219,265.78145743145745,277.0624098124098,136.2965367965368,94.97669552669552,110.48026695526696,110.89574314574314,60.18899711399711,27.512301587301586,32.26038961038961,150.10566378066378,113.14693362193363,42.44924242424242,0.03256866044476664,0.18092679198873893,0.1886061332963988,0.09278184941901757,0.06465397925574917,0.07520780596001836,0.07549063522514851,0.04097276862763589,0.018728591958680457,0.02196078258025161,0.1021822081556595,0.07702309981071044,0.02889669327722425
22380,"Flagstaff, AZ",428,332,96,26,172,120,145,38,70,76,15,8,20,49,75,11,7.258333333333333,69.58293650793651,49.08293650793651,79.97460317460317,12.988888888888889,25.06626984126984,28.716269841269842,4.538888888888889,3.333333333333333,8.775,15.849603174603175,23.549603174603174,3.283333333333333,0.021862449799196784,0.20958715815643528,0.14784017020462803,0.2408873589596481,0.039123159303882195,0.07550081277490915,0.08649478867852362,0.013671352074966532,0.010040160642570281,0.026430722891566266,0.04773976859820234,0.07093253968253968,0.009889558232931727
22420,"Flint, MI",903,765,138,89,388,305,244,190,273,218,137,11,36,201,239,49,23.943073593073592,131.62878787878788,89.88593073593073,95.24664502164502,61.557359307359306,94.72085137085136,66.90974025974026,45.48452380952381,4.858333333333333,11.361327561327561,64.1621212121212,62.714502164502164,12.526803751803753,0.031298135415782476,0.17206377500495146,0.11749794867441925,0.12450541832894774,0.0804671363494893,0.12381810636712597,0.08746371275783041,0.05945689386865857,0.006350762527233116,0.014851408576898774,0.08387205387205386,0.0819797413915061,0.016374906865102946
