year,OCC_TITLE,A_Afford_Weighted,H_Afford_Weighted
2013,Landscape architects,0.5777568379925636,0.5778051062805806
2013,Lawyers,0.34468131117931017,0.3446786880939164
2013,Marriage and family therapists,0.8980260475090897,0.898184373831657
2013,Medical and public health social workers,0.6923300457304635,0.692338456092946
2013,Mental health and substance abuse social workers,0.9058542623338971,0.9057706317424757
2013,Occupational therapists,0.45097498034484396,0.45096696200539116
2013,Optometrists,0.40164957346740476,0.40163155350978663
2013,"Pediatricians, general",0.22824895195098355,0.22816901408450707
2013,Pharmacists,0.28307175080483304,0.2830677963243066
2013,Physical therapists,0.4262573920249538,0.42624120219548667
2013,Podiatrists,0.2897487580379915,0.28973916890878104
2013,Rehabilitation counselors,1.0719688652923438,1.0719625700682365
2013,Speech-language pathologists,0.49248304063676673,0.49247555753839145
2013,Veterinarians,0.40658967278075503,0.4065787566292156
2014,"Architects, except landscape and naval",0.4968182754829835,0.4968193009449513
2014,Audiologists,0.4914236427065317,0.49140716307907695
2014,"Child, family, and school social workers",0.8522561226589249,0.8522374512757381
2014,Chiropractors,0.5851882085951661,0.5852082833114352
2014,"Dentists, general",0.28323898475743575,0.2832261944620121
2014,Dietitians and nutritionists,0.6354171580208491,0.6354202181577832
2014,"Educational, vocational, and school counselors",0.6712818279006294,0.6712785896575856
2014,Landscape architects,0.554493942470216,0.5546022965519186
2014,Lawyers,0.34872814263704627,0.34872949766387795
2014,Marriage and family therapists,0.9022987620338329,0.9023727742114593
2014,Medical and public health social workers,0.6908090256753149,0.6907960423616284
2014,Mental health and substance abuse social workers,0.9254082546742017,0.9254089512213942
2014,Occupational therapists,0.4468164895463912,0.4468196406277871
2014,Optometrists,0.36945717103829934,0.36946751494832736
2014,"Pediatricians, general",0.22410451959742453,0.22402808477441166
2014,Pharmacists,0.28245531777736654,0.2824541403463006
2014,Physical therapists,0.42446557569777754,0.4244555179740141
2014,Podiatrists,0.30250993771710644,0.3025260678254516
2014,Rehabilitation counselors,1.0759048745748883,1.0758627394624924
2014,Speech-language pathologists,0.4944503881678377,0.4944424756025361
2014,Veterinarians,0.4144895352056824,0.4144893694693663
2015,"Architects, except landscape and naval",0.4978390421056952,0.49786772101379195
2015,Audiologists,0.4802437783898361,0.48029589969017716
2015,"Child, family, and school social workers",0.870246570320336,0.870264807716213
2015,Chiropractors,0.6167039986311026,0.6167289232118058
2015,"Dentists, general",0.2951594449619864,0.2951660708474081
2015,Dietitians and nutritionists,0.6331328549931226,0.6331614691753119
2015,"Educational, vocational, and school counselors",0.6796928797145781,0.6797092350203838
2015,Landscape architects,0.5560292224672524,0.5560910597873839
2015,Lawyers,0.35379899260928177,0.3538115812921947
2015,Marriage and family therapists,0.8757468911002271,0.8758554989151833
2015,Medical and public health social workers,0.6927142260478687,0.6927497855954102
2015,Mental health and substance abuse social workers,0.9343177086181704,0.9343197358159103
2015,Occupational therapists,0.446415601418131,0.44642842118128956
2015,Optometrists,0.3874008075260122,0.38739407634543876
2015,"Pediatricians, general",0.22995156928108687,0.22998430141287282
2015,Pharmacists,0.28559773896934104,0.28560790815253273
2015,Physical therapists,0.42446443460690464,0.4244776758262316
2015,Podiatrists,0.3408550745691234,0.34087318355397134
2015,Rehabilitation counselors,1.0874382930492434,1.0874938127546374
2015,Speech-language pathologists,0.49444614093342293,0.4944628086652441
2015,Veterinarians,0.42001331722299257,0.42002882337715874
2016,"Architects, except landscape and naval",0.5011898967086617,0.5011783231468404
2016,Audiologists,0.47960265469013813,0.4795172844079639
2016,"Child, family, and school social workers",0.8752133327804327,0.8752384161298139
2016,Chiropractors,0.5857643995410854,0.5856923031279302
2016,"Dentists, general",0.3010942116108187,0.30108462549057896
2016,Dietitians and nutritionists,0.6294814840636797,0.6294795274726315
2016,"Educational, vocational, and school counselors",0.6858000085263916,0.6857999808259002
2016,Landscape architects,0.5297766460110643,0.5297994259882292
2016,Lawyers,0.357946769582339,0.35795134626343944
2016,Marriage and family therapists,0.8972180045768507,0.8972690441787203
2016,Medical and public health social workers,0.6896381266131145,0.6896390617738185
2016,Mental health and substance abuse social workers,0.927427311519834,0.927384520874191
2016,Occupational therapists,0.4472251016107395,0.44722798564189403
2016,Optometrists,0.37377878526470987,0.3737441952593406
2016,"Pediatricians, general",0.2410575427682737,0.2410028305701577
2016,Pharmacists,0.28967505644898295,0.2896753633081136
2016,Physical therapists,0.42923450060555657,0.4292355907382026
2016,Podiatrists,0.3438641683905382,0.34382736163697186
2016,Rehabilitation counselors,1.0872820790853583,1.087329915454306
2016,Speech-language pathologists,0.49686882670156773,0.49687779926168335
2016,Veterinarians,0.4277609202865081,0.427763214184523
2017,"Architects, except landscape and naval",0.4966893516893562,0.4967007790749068
2017,Audiologists,0.48739230590905946,0.4873102043672571
